match_number,team,player_name,career_ipl_matches_before_match
17,Sunrisers Hyderabad,Abhishek Sharma,80
17,Sunrisers Hyderabad,TM Head,41
17,Sunrisers Hyderabad,Ishan Kishan,122
17,Sunrisers Hyderabad,H Klaasen,52
17,Sunrisers Hyderabad,Aniket Verma,17
17,Sunrisers Hyderabad,S Arora,2
17,Sunrisers Hyderabad,Nithish Kumar Reddy,31
17,Sunrisers Hyderabad,Harsh Dubey,6
17,Sunrisers Hyderabad,Shivang Kumar,2
17,Sunrisers Hyderabad,HV Patel,120
17,Sunrisers Hyderabad,E Malinga,10
17,Punjab Kings,YS Chahal,178
17,Punjab Kings,Priyansh Arya,20
17,Punjab Kings,P Simran Singh,55
17,Punjab Kings,C Connolly,3
17,Punjab Kings,SS Iyer,136
17,Punjab Kings,N Wadhera,40
17,Punjab Kings,Shashank Singh,45
17,Punjab Kings,MP Stoinis,113
17,Punjab Kings,M Jansen,39
17,Punjab Kings,XC Bartlett,7
17,Punjab Kings,Vijaykumar Vyshak,19
17,Punjab Kings,Arshdeep Singh,86
18,Chennai Super Kings,AJ Hosein,1
18,Chennai Super Kings,SV Samson,179
18,Chennai Super Kings,RD Gaikwad,74
18,Chennai Super Kings,A Mhatre,10
18,Chennai Super Kings,S Dube,82
18,Chennai Super Kings,SN Khan,53
18,Chennai Super Kings,D Brevis,16
18,Chennai Super Kings,J Overton,5
18,Chennai Super Kings,Noor Ahmad,40
18,Chennai Super Kings,A Kamboj,14
18,Chennai Super Kings,Gurjapneet Singh,0
18,Chennai Super Kings,KK Ahmed,74
18,Delhi Capitals,Mukesh Kumar,35
18,Delhi Capitals,P Nissanka,3
18,Delhi Capitals,KL Rahul,149
18,Delhi Capitals,Sameer Rizvi,17
18,Delhi Capitals,AR Patel,166
18,Delhi Capitals,DA Miller,144
18,Delhi Capitals,T Stubbs,36
18,Delhi Capitals,Ashutosh Sharma,24
18,Delhi Capitals,Auqib Nabi,0
18,Delhi Capitals,Kuldeep Yadav,102
18,Delhi Capitals,L Ngidi,19
18,Delhi Capitals,T Natarajan,67
19,Lucknow Super Giants,AK Markram,60
19,Lucknow Super Giants,MR Marsh,58
19,Lucknow Super Giants,RR Pant,128
19,Lucknow Super Giants,A Badoni,59
19,Lucknow Super Giants,N Pooran,93
19,Lucknow Super Giants,Abdul Samad,66
19,Lucknow Super Giants,MD Choudhary,3
19,Lucknow Super Giants,GF Linde,0
19,Lucknow Super Giants,Mohammed Shami,122
19,Lucknow Super Giants,Avesh Khan,77
19,Lucknow Super Giants,DS Rathi,15
19,Lucknow Super Giants,Prince Yadav,9
19,Gujarat Titans,Mohammed Siraj,111
19,Gujarat Titans,B Sai Sudharsan,43
19,Gujarat Titans,Shubman Gill,120
19,Gujarat Titans,JC Buttler,124
19,Gujarat Titans,Washington Sundar,69
19,Gujarat Titans,R Tewatia,111
19,Gujarat Titans,GD Phillips,11
19,Gujarat Titans,Rashid Khan,139
19,Gujarat Titans,K Rabada,87
19,Gujarat Titans,Ashok Sharma,3
19,Gujarat Titans,M Prasidh Krishna,69
19,Gujarat Titans,M Shahrukh Khan,58
20,Royal Challengers Bengaluru,Rasikh Salam,13
20,Royal Challengers Bengaluru,PD Salt,37
20,Royal Challengers Bengaluru,V Kohli,269
20,Royal Challengers Bengaluru,RM Patidar,45
20,Royal Challengers Bengaluru,TH David,53
20,Royal Challengers Bengaluru,JM Sharma,58
20,Royal Challengers Bengaluru,R Shepherd,21
20,Royal Challengers Bengaluru,D Padikkal,77
20,Royal Challengers Bengaluru,KH Pandya,145
20,Royal Challengers Bengaluru,B Kumar,193
20,Royal Challengers Bengaluru,JA Duffy,2
20,Royal Challengers Bengaluru,Suyash Sharma,29
20,Mumbai Indians,M Markande,39
20,Mumbai Indians,RD Rickelton,17
20,Mumbai Indians,RG Sharma,275
20,Mumbai Indians,SA Yadav,169
20,Mumbai Indians,Tilak Varma,57
20,Mumbai Indians,HH Pandya,154
20,Mumbai Indians,SE Rutherford,26
20,Mumbai Indians,Naman Dhir,26
20,Mumbai Indians,MJ Santner,32
20,Mumbai Indians,SN Thakur,108
20,Mumbai Indians,JJ Bumrah,148
20,Mumbai Indians,TA Boult,121
21,Sunrisers Hyderabad,Sakib Hussain,0
21,Sunrisers Hyderabad,Abhishek Sharma,81
21,Sunrisers Hyderabad,TM Head,42
21,Sunrisers Hyderabad,Ishan Kishan,123
21,Sunrisers Hyderabad,H Klaasen,53
21,Sunrisers Hyderabad,Nithish Kumar Reddy,32
21,Sunrisers Hyderabad,S Arora,3
21,Sunrisers Hyderabad,Aniket Verma,18
21,Sunrisers Hyderabad,Harsh Dubey,7
21,Sunrisers Hyderabad,Shivang Kumar,3
