match_number,team,player_name,batting_position_if_available,captain_flag,wicketkeeper_flag,is_impact_player,playing_order
12,Kolkata Knight Riders,Kolkata Knight Riders Substitute 12,,0,0,1,12
12,Punjab Kings,SS Iyer,,1,0,0,1
12,Punjab Kings,P Simran Singh,,0,1,0,2
12,Punjab Kings,N Wadhera,,0,0,0,3
12,Punjab Kings,C Connolly,,0,0,0,4
12,Punjab Kings,Shashank Singh,,0,0,0,5
12,Punjab Kings,MP Stoinis,,0,0,0,6
12,Punjab Kings,M Jansen,,0,0,0,7
12,Punjab Kings,Vijaykumar Vyshak,,0,0,0,8
12,Punjab Kings,XC Bartlett,,0,0,0,9
12,Punjab Kings,Arshdeep Singh,,0,0,0,10
12,Punjab Kings,YS Chahal,,0,0,0,11
12,Punjab Kings,Punjab Kings Substitute 12,,0,0,1,12
13,Rajasthan Royals,Ravi Bishnoi,,0,0,0,1
13,Rajasthan Royals,YBK Jaiswal,1,0,0,0,2
13,Rajasthan Royals,V Suryavanshi,2,0,0,0,3
13,Rajasthan Royals,Dhruv Jurel,3,0,1,0,4
13,Rajasthan Royals,R Parag,4,1,0,0,5
13,Rajasthan Royals,SO Hetmyer,5,0,0,0,6
13,Rajasthan Royals,RA Jadeja,,0,0,0,7
13,Rajasthan Royals,D Ferreira,,0,0,0,8
13,Rajasthan Royals,JC Archer,,0,0,0,9
13,Rajasthan Royals,N Burger,,0,0,0,10
13,Rajasthan Royals,TU Deshpande,,0,0,0,11
13,Rajasthan Royals,Sandeep Sharma,,0,0,1,12
13,Mumbai Indians,AM Ghazanfar,,0,0,0,1
13,Mumbai Indians,RD Rickelton,1,0,0,0,2
13,Mumbai Indians,RG Sharma,2,0,0,0,3
13,Mumbai Indians,SA Yadav,3,0,0,0,4
13,Mumbai Indians,Tilak Varma,4,0,0,0,5
13,Mumbai Indians,HH Pandya,5,1,0,0,6
13,Mumbai Indians,Naman Dhir,6,0,0,0,7
13,Mumbai Indians,SE Rutherford,7,0,0,0,8
13,Mumbai Indians,SN Thakur,8,0,0,0,9
13,Mumbai Indians,DL Chahar,9,0,0,0,10
13,Mumbai Indians,TA Boult,10,0,0,0,11
13,Mumbai Indians,JJ Bumrah,11,0,0,1,12
14,Gujarat Titans,M Shahrukh Khan,,0,0,0,1
14,Gujarat Titans,B Sai Sudharsan,1,0,0,0,2
14,Gujarat Titans,Shubman Gill,2,1,0,0,3
14,Gujarat Titans,JC Buttler,3,0,1,0,4
14,Gujarat Titans,Washington Sundar,4,0,0,0,5
14,Gujarat Titans,GD Phillips,5,0,0,0,6
14,Gujarat Titans,R Tewatia,6,0,0,0,7
14,Gujarat Titans,Rashid Khan,,0,0,0,8
14,Gujarat Titans,K Rabada,,0,0,0,9
14,Gujarat Titans,Mohammed Siraj,,0,0,0,10
14,Gujarat Titans,Ashok Sharma,,0,0,0,11
14,Gujarat Titans,M Prasidh Krishna,,0,0,1,12
14,Delhi Capitals,Mukesh Kumar,,0,0,0,1
14,Delhi Capitals,P Nissanka,1,0,0,0,2
14,Delhi Capitals,KL Rahul,2,1,1,0,3
14,Delhi Capitals,N Rana,3,0,0,0,4
14,Delhi Capitals,Sameer Rizvi,4,0,0,0,5
14,Delhi Capitals,DA Miller,5,0,0,0,6
14,Delhi Capitals,AR Patel,6,1,0,0,7
14,Delhi Capitals,T Stubbs,7,0,0,0,8
14,Delhi Capitals,V Nigam,8,0,0,0,9
14,Delhi Capitals,Kuldeep Yadav,9,0,0,0,10
14,Delhi Capitals,L Ngidi,,0,0,0,11
14,Delhi Capitals,T Natarajan,,0,0,1,12
15,Kolkata Knight Riders,VG Arora,,0,0,0,1
15,Kolkata Knight Riders,AM Rahane,1,1,0,0,2
15,Kolkata Knight Riders,FH Allen,2,0,0,0,3
15,Kolkata Knight Riders,A Raghuvanshi,3,0,0,0,4
15,Kolkata Knight Riders,C Green,4,0,0,0,5
15,Kolkata Knight Riders,RK Singh,5,0,0,0,6
15,Kolkata Knight Riders,R Powell,6,0,0,0,7
15,Kolkata Knight Riders,Ramandeep Singh,,0,0,0,8
15,Kolkata Knight Riders,AS Roy,,0,0,0,9
15,Kolkata Knight Riders,SP Narine,,0,0,0,10
15,Kolkata Knight Riders,Navdeep Saini,,0,0,0,11
15,Kolkata Knight Riders,Kartik Tyagi,,0,0,1,12
15,Lucknow Super Giants,M Siddharth,,0,0,0,1
15,Lucknow Super Giants,MR Marsh,1,0,0,0,2
15,Lucknow Super Giants,AK Markram,2,0,0,0,3
15,Lucknow Super Giants,RR Pant,3,0,0,0,4
15,Lucknow Super Giants,A Badoni,4,0,0,0,5
